CNA@Centrica plc@142.15@+9.95@+7.53%
BARC@Barclays plc@211.00@+8.90@+4.40%
NMC@NMC Health Plc@3,510.00@+110.00@+3.24%
RSA@RSA Insurance Group@632.60@+19.60@+3.20%
BLT@BHP Billiton plc@1,521.20@+27.20@+1.82%
RBS@Royal Bank of Scotland Group plc@282.00@+4.60@+1.66%
SHP@Shire plc@3,037.00@+45.00@+1.50%
EVR@Evraz plc@433.60@+6.00@+1.40%
SSE@SSE plc@1,236.00@+16.50@+1.35%
SLA@Standard Life Aberdeen Plc@385.70@+4.70@+1.23%
ADM@Admiral Group@1,919.50@+22.50@+1.19%
HL.@Hargreaves Lansdown plc@1,733.00@+17.00@+0.99%
IAG@International Consolidated Airlines Group SA@622.60@+5.80@+0.94%
III@3i Group Plc@936.80@+6.60@+0.71%
GKN@GKN plc@425.00@+2.70@+0.64%
NG.@National Grid@751.00@+4.40@+0.59%
MRW@Morrison (Wm) Supermarkets@223.10@+1.20@+0.54%
PSON@Pearson plc@704.80@+3.40@+0.48%
LAND@Land Securities Group plc@937.30@+4.20@+0.45%
HMSO@Hammerson@469.80@+2.10@+0.45%
