MCRO.UK@MICRO FOCUS INT@2067.00@+2.00@+0.10%@-86.39@-4.01%@1,769,560@17:35
MDC.UK@MEDICLINIC INT@606.00@+7.13@+1.19%@-129.96@-17.66%@1,868,466@17:35
MERL.UK@MERLIN ENTERTAINMENTS@341.20@-7.90@-2.26%@-150.33@-30.58%@4,954,923@17:39
MKS.UK@MARKS & SPENCER GROUP@297.60@-1.00@-0.33%@-12.05@-3.89%@5,981,209@17:35
MNDI.UK@MONDI@1892.50@-34.00@-1.76%@+100.88@+5.63%@1,600,255@17:35
MRW.UK@WM MORRISON SUPERMARKETS@223.10@+0.99@+0.45%@-19.18@-7.92%@11,481,940@17:35
NG.UK@NATIONAL GRID@751.00@+4.40@+0.59%@-180.00@-19.33%@11,711,537@17:36
NXT.UK@NEXT@4950.00@-33.00@-0.66%@+1342.21@+37.20%@462,934@17:35
OML.UK@OLD MUTUAL@252.50@-0.20@-0.08%@+43.34@+20.72%@11,116,592@17:36
PFG.UK@PROVIDENT FINANCIAL@657.00@-13.00@-1.94%@-1961.35@-74.91%@740,744@17:35
PPB.UK@PADDY POWER BETFAIR@8475.00@-25.00@-0.29%@+174.55@+2.10%@289,966@17:35
PRU.UK@PRUDENTIAL@1843.50@-3.88@-0.21%@+261.83@+16.55%@3,406,365@17:35
PSN.UK@PERSIMMON@2456.00@-28.00@-1.13%@+544.83@+28.51%@1,048,769@17:35
PSON.UK@PEARSON@704.80@+3.40@+0.48%@+106.74@+17.85%@5,477,608@17:35
RB.UK@RECKITT BENCKISER GROUP@5869.00@0.00@0.00%@-1204.15@-17.02%@2,269,104@17:35
RBS.UK@ROYAL BANK OF SCOTLAND GROUP@282.00@+4.60@+1.66%@+30.50@+12.13%@24,000,663@17:35
RDSA.UK@ROYAL DUTCH SHELL@2264.00@+6.00@+0.27%@+277.96@+14.00%@7,102,737@17:35
RDSB.UK@ROYAL DUTCH SHELL@2291.50@+8.00@+0.35%@+214.86@+10.35%@5,364,452@17:39
REL.UK@RELX@1518.00@-4.50@-0.30%@+73.10@+5.06%@6,440,480@17:35
RIO.UK@RIO TINTO@4023.00@+7.00@+0.17%@+596.58@+17.41%@4,593,702@17:39
RMG.UK@ROYAL MAIL@562.00@-1.00@-0.18%@+167.23@+42.36%@4,760,381@17:35
RR.UK@ROLLS-ROYCE HOLDINGS@839.60@-4.20@-0.50%@+98.21@+13.25%@3,317,735@17:35
RRS.UK@RANDGOLD RESOURCES@6130.00@-10.06@-0.16%@-1218.09@-16.58%@462,882@17:35
RSA.UK@RSA INSURANCE GROUP@632.60@+19.60@+3.20%@+71.88@+12.82%@7,348,523@17:35
RTO.UK@RENTOKIL INITIAL@293.40@-2.00@-0.68%@+60.56@+26.01%@4,424,122@17:35
SBRY.UK@J SAINSBURY@255.10@-0.20@-0.08%@-1.95@-0.76%@8,460,375@17:35
SDR.UK@SCHRODERS@3455.00@-25.00@-0.72%@+498.55@+16.86%@454,286@17:35
SGE.UK@SAGE GROUP@698.20@-5.96@-0.85%@+69.18@+11.00%@3,232,028@17:35
SHP.UK@SHIRE@3037.00@+45.00@+1.50%@-1792.74@-37.12%@3,666,302@17:39
SKG.UK@SMURFIT KAPPA GROUP@2596.00@-20.00@-0.76%@+496.78@+23.66%@383,869@17:35
SKY.UK@SKY@1098.00@-2.00@-0.18%@+112.27@+11.39%@2,287,047@17:35
SMIN.UK@SMITHS GROUP@1589.50@-13.00@-0.81%@+121.31@+8.26%@973,930@17:35
SMT.UK@SCOTTISH MORTGAGE INVESTMENT TRUST@467.60@-2.20@-0.47%@+114.80@+32.54%@2,186,071@17:35
SN.UK@SMITH & NEPHEW@1270.00@-2.00@-0.16%@+77.64@+6.51%@3,055,140@17:37
SSE.UK@SSE@1236.00@+16.50@+1.35%@-206.37@-14.31%@4,254,848@17:35
STAN.UK@STANDARD CHARTERED@830.00@-1.40@-0.17%@+69.80@+9.18%@6,664,494@17:35
STJ.UK@ST JAMES'S PLACE@1143.50@+4.93@+0.43%@+91.88@+8.74%@1,343,965@17:35
SVT.UK@SEVERN TRENT@1710.00@-4.50@-0.26%@-532.14@-23.73%@1,437,341@17:35
TSCO.UK@TESCO@206.30@-1.00@-0.48%@+13.93@+7.24%@33,378,260@17:35
TUI.UK@TUI@1545.00@-24.05@-1.53%@+419.00@+37.21%@1,718,026@17:35
TW.UK@TAYLOR WIMPEY@190.05@-0.76@-0.40%@+24.61@+14.88%@10,634,167@17:35
ULVR.UK@UNILEVER@3738.50@+8.00@+0.21%@+31.91@+0.86%@3,302,866@17:37
UU.UK@UNITED UTILITIES GROUP@664.00@-0.07@-0.01%@-255.94@-27.82%@2,357,793@17:35
VOD.UK@VODAFONE GROUP@201.85@-0.55@-0.27%@+11.42@+6.00%@66,977,514@17:35
WPG.UK@WORLDPAY GROUP@435.40@0.00@0.00%@+148.20@+51.60%@0@15 sty
WPP.UK@WPP@1361.00@-18.50@-1.34%@-447.69@-24.75%@6,791,860@17:35
WTB.UK@WHITBREAD@3933.00@+4.30@+0.11%@+159.07@+4.21%@557,081@17:35
